,writer_id,page_num,keyword_list,keyword_list_20
0,@purnbd,4,"['도시애벌레', '공부', '동시', '주머니', '동시', '빵가게', '동시', '빵가게', '동시', '동화', '빵가게']","['동시', '빵가게', '도시애벌레', '공부', '주머니', '동화']"
1,@byulkim,4,"['애견놀이터', '애견', '애견카페', '마늘', '여자', '엄마', '김치', '음식', '주부', '작가', '직업']","['애견놀이터', '애견', '애견카페', '마늘', '여자', '엄마', '김치', '음식', '주부', '작가', '직업']"
2,@m-life,4,"['입찰', '유치권', '부동산경매변호사', '불꽃축제', '불꽃', '여의도', '사진', '편집', '단독주택', '부동산', '결혼식']","['입찰', '유치권', '부동산경매변호사', '불꽃축제', '불꽃', '여의도', '사진', '편집', '단독주택', '부동산', '결혼식']"
3,@markinfo,3,"['상표등록', '상표', '상표등록', '상표', '상표등록', '해외']","['상표등록', '상표', '해외']"
4,@seesawyou,3,"['단상', '여행', '생각', '세계여행', '여행', '행복', '여행', '사람', '북유럽']","['여행', '단상', '생각', '세계여행', '행복', '사람', '북유럽']"
5,@mijeongpark,3,"['유럽여행', '더블린', '아일랜드', '시', '이별', '위로', '슬픔', '자작시', '사랑']","['유럽여행', '더블린', '아일랜드', '시', '이별', '위로', '슬픔', '자작시', '사랑']"
6,@slist,3,"['드라마', '방송', '방송연예', '유형', '관계', '사람', '트렌드', '헤어트렌드', '스타일']","['드라마', '방송', '방송연예', '유형', '관계', '사람', '트렌드', '헤어트렌드', '스타일']"
7,@hohogg,3,"['사랑', '연애', 'rain', '꼬꼬마', '일상', '단편', '벌레', '단편']","['단편', '사랑', '연애', 'rain', '꼬꼬마', '일상', '벌레']"
8,@ubermensch,3,"['월요일', '스트레스', '회사', '회사', '사람', '생각', '영화', '매트릭스', '리뷰']","['회사', '월요일', '스트레스', '사람', '생각', '영화', '매트릭스', '리뷰']"
9,@hukho,2,"['패션', '에세이', '경제', '계절', '패션', '에세이']","['패션', '에세이', '경제', '계절']"
10,@mori3,2,"['비틀즈', '음악', '앨범', '제이팝', '음악', '일본']","['음악', '비틀즈', '앨범', '제이팝', '일본']"
11,@skyzakard,2,[],[]
12,@eunbinkim,2,"['세네갈요리', '요리', '세네갈', '까미노데산티아고', '칠레', '남미여행']","['세네갈요리', '요리', '세네갈', '까미노데산티아고', '칠레', '남미여행']"
13,@yooym2000,2,"['크라쿠프', '소금광산', '유럽여행', '해외여행', '필리핀', '팔라완']","['크라쿠프', '소금광산', '유럽여행', '해외여행', '필리핀', '팔라완']"
14,@jerad,2,"['팀워크', '성과', '개인기', '착각', '신입사원', '성공']","['팀워크', '성과', '개인기', '착각', '신입사원', '성공']"
15,@jordan777,2,"['석유에너지', '베네수엘라', '경제', '일자리', '청년실업', '저출산']","['석유에너지', '베네수엘라', '경제', '일자리', '청년실업', '저출산']"
16,@eunmikim,2,"['샐러드', '음식', '놀이', '미술관', '톨레도', '디트로이트']","['샐러드', '음식', '놀이', '미술관', '톨레도', '디트로이트']"
17,@glassdice,2,"['장애엄마', '부모교육', '새학기', '가족나들이', '육아모임', '딸기']","['장애엄마', '부모교육', '새학기', '가족나들이', '육아모임', '딸기']"
18,@seunghyehan,2,"['소설', '서평', '페미니즘', '마약', '서평', '책소개']","['서평', '소설', '페미니즘', '마약', '책소개']"
19,@ameliekim2016,1,"['장애', '장애인', '가족']","['장애', '장애인', '가족']"
20,@junyoungcho,1,"['스마트시티', '볼리비아', '산타크루즈']","['스마트시티', '볼리비아', '산타크루즈']"
21,@seung4298,1,"['브랜드', '브랜딩', '마케팅']","['브랜드', '브랜딩', '마케팅']"
22,@roke,1,[],[]
23,@sharppen01,1,"['취업', '사회생활', '결혼']","['취업', '사회생활', '결혼']"
24,@9320km,1,"['프랑스', '환경보호운동', '기후변화']","['프랑스', '환경보호운동', '기후변화']"
25,@maumdal,1,"['심리상담', '심리치료', '스트레스']","['심리상담', '심리치료', '스트레스']"
26,@brunchfkx,1,[],[]
27,@leedalhee,1,"['세상', '이해', '생각']","['세상', '이해', '생각']"
28,@skbark,1,"['엔지니어링', '매니저', 'study']","['엔지니어링', '매니저', 'study']"
29,@fskene,1,"['감성에세이', '사랑', '첫사랑']","['감성에세이', '사랑', '첫사랑']"
30,@melomane,1,"['승리', '아이돌', '추락']","['승리', '아이돌', '추락']"
31,@swkyung0221,1,"['젠트리피케이션', '주거문화', '서울']","['젠트리피케이션', '주거문화', '서울']"
32,@sooband,1,[],[]
33,@bluehighway,1,"['캠프', '엑스레이']","['캠프', '엑스레이']"
34,@hyunj2407,1,"['문화극장', '극장']","['문화극장', '극장']"
35,@lkim,1,"['자전거', '잠', '맥주']","['자전거', '잠', '맥주']"
36,@hannahajink,1,[],[]
37,@hanaru,1,"['출판', '사회복지사', '교육']","['출판', '사회복지사', '교육']"
38,@thsgmlgns2,1,"['살구', '어깨', '해설자']","['살구', '어깨', '해설자']"
39,@seongeuncho,1,"['사랑', '남과여', '사람']","['사랑', '남과여', '사람']"
40,@starskylight,1,"['송중기', '늑대소년', '영화']","['송중기', '늑대소년', '영화']"
41,@garbar,1,"['사막', '흐름', '독백']","['사막', '흐름', '독백']"
42,@brunchejej,1,"['자작소설', '창작']","['자작소설', '창작']"
43,@easygo,1,"['추천여행', '노동당사', '강원도']","['추천여행', '노동당사', '강원도']"
44,@bookdb,1,"['여행', '호주', '국립공원']","['여행', '호주', '국립공원']"
45,@elang8151,1,"['메일', '출판사']","['메일', '출판사']"
46,@miyoungbaek,1,[],[]
47,@amberjeon48,1,"['캐릭터', '드로잉', '그림']","['캐릭터', '드로잉', '그림']"
48,@haninorway19,1,"['엄마', '취향', '효도']","['엄마', '취향', '효도']"
49,@poldee,1,"['버스', '지하철', '친구']","['버스', '지하철', '친구']"
50,@youthhd,1,"['사회생활', '사회', '눈치']","['사회생활', '사회', '눈치']"
51,@aerinitu,1,"['마음', '향기', '사진일기']","['마음', '향기', '사진일기']"
52,@semi,1,"['스타트업', '창업', '인사']","['스타트업', '창업', '인사']"
53,@tomssi,1,"['분홍', '워드', '마음']","['분홍', '워드', '마음']"
54,@mignoncat,1,"['생각', '과거', '무시']","['생각', '과거', '무시']"
55,@sunyoule,1,"['아프리카', '배낭여행', '세계여행']","['아프리카', '배낭여행', '세계여행']"
56,@doubleshot,1,"['그림일기', '반려동물', '웹툰']","['그림일기', '반려동물', '웹툰']"
57,@sk0279,1,"['시험', '아침조회시간']","['시험', '아침조회시간']"
58,@pencil-k,1,[],[]
59,@rothem,1,[],[]
60,@maama,1,"['운동', '헬스', '건강']","['운동', '헬스', '건강']"
61,@eunspiration,1,"['싱가포르', '해외취업', '이민']","['싱가포르', '해외취업', '이민']"
62,@daro,1,"['편의점', '커피', '담배']","['편의점', '커피', '담배']"
63,@chkwon91,1,"['인문학', '소프트웨어', '융합']","['인문학', '소프트웨어', '융합']"
64,@iamlove,1,[],[]
65,@kohwang56,1,"['목련꽃', '아지랑이', '동행']","['목련꽃', '아지랑이', '동행']"
66,@kotani4,1,"['그림자', '하이에나', '도시']","['그림자', '하이에나', '도시']"
67,@bryceandjuli,1,"['감정', '마음', '위로']","['감정', '마음', '위로']"
68,@dj0999,1,"['칼국수', '대화', '저항']","['칼국수', '대화', '저항']"
